file,formula,ismetal,H-mass,e-mass,bandgap,bandgap_type,formation_energy_per_atom,ehull,¦Å¡Î ,¦Å¡Í 
419,B4H16Hf,FALSE,-2.723,-1.253,5.6114,Direct,-0.820199967,0.015668524,3.247388346,3.284022456
420,H2O4Pb3,FALSE,76.057,-2.705,2.7819,Direct,-1.863177767,0.0834775,8.228956582,5.545064174
421,H2O4S,FALSE,9.377,15.204,6.4248,Indirect,-2.111861256,0.042364214,4.46157688,3.800445279
422,H2O4Sn3,FALSE,-59.783,-5.434,2.4746,Indirect,-2.003990611,0.085879204,,
423,H2OSi,TRUE,,,-0.0177,Indirect,-1.131889162,0.684497813,,
424,H2O,FALSE,-6.527,-6.394,4.6237,Direct,-1.795931133,0.157223611,,
425,H2S3Si2,FALSE,-4.559,2.337,3.297,Indirect,-0.662661797,0.063043571,3.742675156,3.268308486
426,H2S,FALSE,21.45,-80.335,4.1314,Indirect,-0.525363798,0.072650167,,
427,B4H16Zr,FALSE,-3.884,1.477,5.2065,Indirect,-0.829416863,0.013674524,3.219602109,3.295279298
428,H3N,FALSE,-3.572,-83148.044,3.4957,Direct,-0.775130738,0.062335312,,
429,H3O3P,FALSE,-13.476,6.162,5.4913,Indirect,-2.144370287,0.087031481,,
430,H4N3P,FALSE,-6.001,14.213,3.7582,Indirect,-0.687990952,0.041807187,,
431,H4N,TRUE,,,9.7988,Indirect,-0.41702827,0.38169889,,
432,H4O8V3,TRUE,,,-0.1359,Indirect,-2.43086618,0.416039228,,
433,H4O9Re2,FALSE,10.693,11.94,3.434,Indirect,-2.320536933,0.015642361,5.380896831,7.9688299
434,B4N2O11,FALSE,21.827,-14.423,1.8965,Indirect,-2.348084735,0.28049588,,
435,H6O6Te,FALSE,-3.971,-7.893,3.3027,Direct,-1.902152913,0.0771425,,
436,H6OSi2,FALSE,4.675,-20.46,5.2532,Indirect,-1.083899444,0.042784028,2.907887583,2.501985596
437,H8N10Zn,FALSE,5.767,-4.812,3.9217,Indirect,-0.230974761,0.232913623,,
438,H9NSi3,FALSE,12.229,40.09,4.2366,Indirect,-0.649223873,0.028890769,2.960757307,2.988721956
439,HIO3,FALSE,-3.781,-2.375,2.4847,Direct,-1.38091,0.163267958,,
440,HNO,FALSE,5.199,1.193,3.2316,Indirect,-0.767790917,0.515524772,,
441,HNS3,FALSE,18.446,-4.558,3.0661,Indirect,-0.019869536,0.21436445,,
442,HNS7,FALSE,-1.141,-6.982,2.8635,Direct,0.016122882,0.145035917,,
443,HNS8,FALSE,-3.328,-5.127,2.4654,Indirect,0.051021685,0.1667696,,
444,HNS9,FALSE,2.26,0.732,2.3147,Indirect,0.048454341,0.153430795,,
445,HNS,FALSE,9.004,145.958,3.3078,Indirect,-0.083668081,0.308547333,,
446,Hf2S2Si,TRUE,,,-1.2739,Indirect,0.347293212,1.7464081,,
447,Hf2SiTe2,TRUE,,,-1.2145,Indirect,0.3362287,1.2502598,,
448,HgI2,FALSE,0.859,-111.181,1.6897,Indirect,-0.193812967,0.036006356,,
449,I2La2O,TRUE,,,-0.3844,Indirect,-1.17569974,1.28267571,,
450,I2Lu2O,TRUE,,,-0.6592,Indirect,-1.2281415,1.17452592,,
451,I2N2S,FALSE,1.921,-1.255,1.4325,Direct,0.718355361,0.74261516,,
452,I2NTh2,TRUE,,,-0.6108,Indirect,-0.22876173,1.3184375,,
453,AlB3H12,FALSE,8.354,-25.434,6.2886,Indirect,-0.716258575,0.017867969,3.14997919,3.720250847
454,I2NU2,TRUE,,,-0.2446,Indirect,0.30491023,1.5020243,,
455,B5F6,FALSE,13.715,-16.566,3.3007,Indirect,-2.157124264,0.189493591,,
456,I2OPr2,TRUE,,,-1.2042,Indirect,-1.14136922,1.293474688,,
457,I2OSm2,TRUE,,,-1.3441,Indirect,-1.121823,1.282007768,,
458,I2OTm2,TRUE,,,-0.6233,Indirect,-1.21565246,1.188707787,,
459,I2OYb2,TRUE,,,-0.6384,Indirect,-1.22096918,0.992333533,,
460,I2P4S3,FALSE,-2.128,5.431,2.0277,Indirect,-0.064055122,0.088451278,,
461,I2P4Se3,FALSE,4.187,-3.229,1.8959,Indirect,-0.13951863,0.088633806,,
462,I2STl2,TRUE,,,-0.3531,Indirect,0.267581357,0.80923107,,
463,B5H11,FALSE,4.179,6.802,4.6374,Indirect,-0.705218884,0.047921669,2.787478816,2.609136755
464,I2Si,,,,,Direct,-0.32228865,0.107165683,,
465,I3In,FALSE,2.211,-0.881,2.108,Indirect,-0.43023619,0.116169606,,
466,I3Sb,FALSE,4.26,-1.275,1.5836,Indirect,-0.259295558,0.151624442,,
467,I3Si,FALSE,1.9,-1.503,2.6319,Direct,-0.36449105,0.082913113,5.068591498,4.450692081
468,I4O2Pt,TRUE,,,-0.6851,Indirect,-0.227353986,0.508246243,,
469,I4Si,FALSE,-1.852,-6.136,2.6119,Indirect,-0.29947809,0.13518834,,
470,I4Sn,FALSE,4.934,-16.075,1.7736,Direct,-0.24234432,0.120973715,,
471,I4Ta,FALSE,3.806,3.778,0.7702,Indirect,-0.443397707,0.084164106,,
472,I5Nb,FALSE,0.968,-137.392,0.7555,Indirect,-0.480030292,0.089101646,,
473,I5Ta,FALSE,-2.423,-0.634,1.054,Direct,-0.446865514,0.078672958,,
474,B5H4N2,FALSE,-45.717,-59.369,2.8071,Direct,-0.586958418,0.544856327,,
475,B5H4,,,,,Direct,-0.4073079,0.374732778,,
476,IP3Se4,FALSE,-3.049,-9.057,1.5517,Indirect,-0.15654783,0.128670006,,
477,LiMnO,FALSE,-154049.741,19289.033,0.0563,Indirect,0.438004458,2.381964351,,
478,Mn2O7,FALSE,20.674,3.736,1.7942,Indirect,-2.064995359,-0.172666581,,
479,B5H7,FALSE,2.737,-6.28,3.5881,Direct,-0.763897421,0.023780312,2.92951048,3.193013426
480,MnNd2Si2,TRUE,,,-1.0299,Indirect,1.19595462,1.952984808,,
481,MnO2,FALSE,-6809.711,8568.556,0.1634,Direct,-0.720174883,1.599441533,,
482,MnO4,TRUE,,,-0.1576,Indirect,-1.74812345,0.0587478,,
483,MnPr2Si2,TRUE,,,-0.91,Indirect,1.16904807,1.958999348,,
484,MnSi2Sm2,TRUE,,,-1.184,Indirect,1.15537123,1.938268588,,
485,MoO2,TRUE,,,-0.3913,Indirect,-1.1253244,1.97548725,,
486,N18W,FALSE,2.089,4.941,1.9811,Indirect,0.518294079,0.62849378,,
487,B5H8,FALSE,-13.581,-4.979,4.4174,Direct,-0.710286862,0.066764047,2.795651318,3.103826511
488,N2O2S3,FALSE,-4.085,1.416,1.312,Indirect,-0.547981426,0.312032179,,
489,N2O5S3,FALSE,7.502,14.3,2.694,Indirect,-1.172337478,0.338842437,,
490,N2O8Pd,FALSE,14.539,0.964,0.2397,Indirect,-0.967784268,0.361632705,,
491,N2OS2,FALSE,8.37,-9.73,1.7703,Indirect,-0.153725658,0.444727425,,
492,N2O,FALSE,16.047,-14.231,5.9637,Direct,-0.359748367,0.217759688,,
493,N2PbS2,FALSE,3.419,-7.695,1.3039,Indirect,0.403773432,0.64300391,,
494,N2PdS6,FALSE,-3.968,-2.088,1.0728,Direct,0.195654976,0.307314833,,
495,N2S3Te,FALSE,3.479,-2.906,0.8586,Indirect,0.517615807,0.524408789,,
496,N3O10V,FALSE,12.78,-28.473,3.0169,Indirect,-1.748263882,0.032589464,3.30320474,2.745667031
497,B5H9,FALSE,17.707,-4.437,5.6741,Indirect,-0.718742275,0.049199927,2.701986943,2.812683047
498,N3S4Sb,TRUE,,,-0.1088,Indirect,0.635482378,0.734370422,,
499,N3S5,TRUE,,,0.7053,Direct,0.534645098,0.526778828,,
500,N4O12Sn,FALSE,19.683,-28.703,3.7679,Indirect,-1.462810606,0.024488735,,
501,N4O3S5,FALSE,-10.279,-2.89,1.7545,Indirect,-0.371145439,0.379884615,,
502,N4O6Pt,FALSE,129.128,-11151.352,1.1266,Direct,-0.262955064,0.81261075,,
503,N4PtS4,FALSE,3.213,94.045,0.8283,Indirect,0.481107669,0.607286022,,
504,N6O8S7,FALSE,8.175,-10.857,0.3753,Indirect,-0.770150998,0.378748905,,
505,N6S5,FALSE,-6.059,-26.73,2.2524,Indirect,0.673069639,0.662872409,,
506,N9PS,FALSE,14.1,22.063,3.2579,Indirect,0.516063975,0.587261212,,
507,N9Sb,FALSE,-40.034,-1.652,2.614,Direct,0.60258449,0.592457013,,
508,NO2,FALSE,31.424,-4.644,2.2228,Direct,-1.120430928,0.050998306,,
509,NOS2,FALSE,4.785,2.661,1.704,Indirect,-0.446987134,0.3051825,,
510,NS2,FALSE,-48.332,-5.008,1.6147,Indirect,0.467161187,0.459864708,,
511,NS3,FALSE,-1.635,0.563,1.501,Indirect,0.39392968,0.387772781,,
512,NS7,TRUE,,,1.0391,Direct,0.289850761,0.285403234,,
513,NS,FALSE,-19.167,22.493,2.1197,Indirect,0.582227766,0.572652125,,
514,NSe,FALSE,62.62,-7.944,1.8646,Indirect,0.690546483,0.85472849,,
515,B6CrH16,FALSE,-4.173,-3.132,2.1915,Direct,-0.696350589,0.061774525,,
516,O2P,FALSE,-7.981,-7.58,4.6056,Direct,-2.71747046,0.086221709,,
517,O2S,FALSE,8.292,-3.007,2.9894,Direct,-1.916286098,0.103179833,,
518,O2Sb,TRUE,,,0.6472,Direct,-0.550418583,1.89447085,,
